Date,Symbol,Type,Amount
8/16/2019,IRDM11,Provento,0.64
10/7/2019,HSML11,Provento,3.05
10/14/2019,XPLG11,Provento,2.44
10/14/2019,MALL11,Provento,1.68
11/7/2019,HSML11,Provento,3.10
11/14/2019,XPLG11,Provento,2.56
11/14/2019,VRTA11,Provento,4.32
11/14/2019,MALL11,Provento,1.72
12/13/2019,XPLG11,Provento,2.56
12/13/2019,VRTA11,Provento,3.84
12/13/2019,MALL11,Provento,2.04
12/13/2019,HGRU11,Provento,3.40
12/13/2019,HGCR11,Provento,3.00
12/17/2019,RBRR11,Provento,2.75
12/23/2019,ALZR11,Provento,2.80
1/8/2020,HSML11,Provento,9.90
1/15/2020,XPLG11,Provento,2.56
1/15/2020,VRTA11,Provento,5.39
1/15/2020,MALL11,Provento,3.24
1/15/2020,HGRU11,Provento,3.70
1/15/2020,HGCR11,Provento,3.00
1/17/2020,RBRR11,Provento,10.20
1/24/2020,ALZR11,Provento,2.84
2/7/2020,HSML11,Provento,15.60
2/14/2020,XPLG11,Provento,2.56
2/14/2020,VRTA11,Provento,5.46
2/14/2020,RBRR11,Provento,10.13
2/14/2020,MALL11,Provento,7.29
2/14/2020,HGRU11,Provento,8.84
3/6/2020,MXRF11,Provento,27.00
3/6/2020,HSML11,Provento,15.60
3/13/2020,RECT11,Provento,12.66
3/13/2020,BCFF11,Provento,13.25
4/7/2020,HSML11,Provento,8.36
4/14/2020,MXRF11,Provento,24.08
4/15/2020,RECT11,Provento,12.15
4/15/2020,BCFF11,Provento,10.00
4/17/2020,IRDM11,Provento,2.81
5/8/2020,HSML11,Provento,7.70
5/15/2020,RECT11,Provento,44.55
5/15/2020,MXRF11,Provento,19.60
5/15/2020,BCFF11,Provento,8.00
6/5/2020,HSML11,Provento,4.68
6/15/2020,RECT11,Provento,48.60
6/15/2020,MXRF11,Provento,19.95
6/15/2020,BCFF11,Provento,8.00
7/7/2020,HSML11,Provento,3.60
7/14/2020,RECT11,Provento,10.53
7/14/2020,MXRF11,Provento,20.37
7/15/2020,VRTA11,Provento,9.60
8/7/2020,HSML11,Provento,3.60
8/14/2020,O,Dividendo,1.35
