Symbol,Category,Name,CNPJ,Last Update
IRDM11,FII,Iridium Recebíveis Imobiliários,28.830.325/0001-10,12/21/2022
XPLG11,FII,XP Log,26.502.794/0001-85,12/21/2022
MALL11,FII,Malls Brasil Plural,26.499.833/0001-32,12/21/2022
HSML11,FII,FII HSI MALL,32.892.018/0001-31,12/21/2022
VRTA11,FII,Fator Verita,11.664.201/0001-00,12/21/2022
HGCR11,FII,CGHG Recebíveis Imobiliários,11.160.521/0001-22,12/21/2022
HGRU11,FII,CSHG Renda Urbana,29.641.226/0001-53,12/21/2022
ALZR11,FII,Alianza Trust Renda Imobiliária,28.737.771/0001-85,12/21/2022
RBRR11,FII,RBR Rendimento High Grade,29.467.977/0001-03,12/21/2022
ENBR3,Ação,EDP - ENERGIAS DO BRASIL S.A.,03.983.431/0001-03,12/21/2022
WIZC3,Ação,WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A,42.278.473/0001-03,12/21/2022
ABCB4,Ação,BCO ABC BRASIL S.A,28.195.667/0001-06,12/21/2022
ITSA4,Ação,ITAUSA INVESTIMENTOS ITAU S.A,61.532.644/0001-15,12/21/2022
MXRF11,FII,Maxi Renda,97.521.225/0001-25,12/21/2022
BCFF11,FII,BTG Fundo de Fundos,11.026.627/0001-38,12/21/2022
RECT11,FII,FII UBSOFFIC,32.274.163/0001-59,12/21/2022
LEVE3,Ação,MAHLE-METAL LEVE S.A,60.476.884/0001-87,12/21/2022
BBSE3,Ação,BB SEGURIDADE PARTICIPAÇÕES S.A,17.344.597/0001-94,12/21/2022
XPCM11,FII,XP Corporate Macaé,16.802.320/0001-03,12/21/2022
VINO11,FII,FII VINC COR,12.516.185/0001-70,12/21/2022
TAEE11,Ação,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A,07.859.971/0001-30,12/21/2022
MYPK3,Ação,IOCHPE MAXION S.A,61.156.113/0001-75,12/21/2022
SAPR4,Ação,CIA SANEAMENTO DO PARANA - SANEPAR,76.484.013/0001-45,12/21/2022
ALUP11,Ação,ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,12/21/2022
PETZ3,Ação,PET CENTER COMERCIO E PARTICIPACOES S.A,18.328.118/0001-09,12/21/2022
RANI3,Ação,Irani Papel e Embalagem S.A,92.791.243/0001-03,12/21/2022
BBDC4,Ação,BCO BRADESCO S.A,60.746.948/0001-12,12/21/2022
LREN3,Ação,LOJAS RENNER S.A,92.754.738/0001-62,12/21/2022
COGN3,Ação,KROTON EDUCACIONAL S.A,02.800.026/0001-40,12/21/2022
CVCB3,Ação,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A,10.760.260/0001-19,12/21/2022
C1CL34,BDR,CARNIVAL CORP,--,12/21/2022
STBP3,Ação,SANTOS BRASIL PARTICIPACOES S.A,02.762.121/0001-04,12/21/2022
CASH3,Ação,MÉLIUZ S.A,14.110.585/0001-07,12/21/2022
TFCO4,Ação,TRACK & FIELD CO S.A,59.418.806/0001-47,12/21/2022
IGTA3,Ação,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,51.218.147/0001-93,12/21/2022
PNVL3,Ação,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,12/21/2022
RLOG3,Ação,COSAN LOGISTICA S.A,17.346.997/0001-39,12/21/2022
MDIA3,Ação,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15,12/21/2022
SULA11,Ação,SUL AMERICA S.A,29.978.814/0001-87,12/21/2022
VIVT3,Ação,TELEFÔNICA BRASIL S.A,02.558.157/0001-62,12/21/2022
ELET3,Ação,CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,12/21/2022
BBAS3,Ação,BCO BRASIL S.A,00.000.000/0001-91,12/21/2022
CCRO3,Ação,CCR S.A,02.846.056/0001-97,12/21/2022
POMO3,Ação,MARCOPOLO S.A,88.611.835/0001-29,12/21/2022
ALSO3,Ação,ALIANSCE SONAE SHOPPING CENTERS S.A,05.878.397/0001-32,12/21/2022
B3SA3,Ação,"B3 S.A. - BRASIL, BOLSA, BALCÃO",09.346.601/0001-25,12/21/2022
GMAT3,Ação,GRUPO MATEUS S.A,24.990.777/0001-09,12/21/2022
ESPA3,Ação,MPM CORPÓREOS S.A,26.659.061/0001-59,12/21/2022
TOTS3,Ação,TOTVS S.A,53.113.791/0001-22,12/21/2022
MEAL3,Ação,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A,17.314.329/0001-20,12/21/2022
MCCI11,FII,FII MAUA,23.648.935/0001-84,12/21/2022
EGIE3,Ação,ENGIE BRASIL ENERGIA S.A,02.474.103/0001-19,12/21/2022
HASH11,ETF,HASHDEX NCI,38.314.708/0001-90,12/21/2022
O,Reit,REALTY INCOME CORPORATION,--,12/21/2022
FRT,Reit,FEDERAL REALTY INVESTMENT TRUST,--,12/21/2022
BABA34,BDR,ALIBABA GROUP HOLDING LTD,--,12/21/2022
BERK34,BDR,BERKSHIRE HATHAWAY INC,--,12/21/2022
RECR11,FII,FII REC RECE,28.152.272/0001-26,12/21/2022
CPLE6,Ação,CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,12/21/2022
RBRP11,FII,RBR Properties,21.408.063/0001-51,12/21/2022
AAPL34,BDR,APPLE INC,--,12/21/2022
GOLD11,ETF,TREND OURO,37.985.763/0001-49,12/21/2022
AMZO34,BDR,AMAZON.COM. INC,--,12/21/2022
EZTC3,Ação,EZ TEC EMPREEND. E PARTICIPACOES S.A,08.312.229/0001-73,12/21/2022
MRVE3,Ação,MRV ENGENHARIA E PARTICIPACOES S.A,08.343.492/0001-20,12/21/2022
MOVI3,Ação,MOVIDA PARTICIPACOES S.A,21.314.559/0001-66,12/21/2022
VIIA3,Ação,VIA S.A,33.041.260/0652-90,12/21/2022
RAIL3,Ação,RUMO S.A,02.387.241/0001-60,12/21/2022
BRAP4,Ação,BRADESPAR S.A,03.847.461/0001-92,12/21/2022
MGLU3,Ação,MAGAZINE LUIZA S.A,47.960.950/0001-21,12/21/2022
HTMX11,FII,Hotel Maxinvest,08.706.065/0001-69,12/21/2022
XPBR31,BDR,XP INC,--,12/21/2022
DISB34,BDR,THE WALT DISNEY COMPANY,--,12/21/2022
BTLG11,FII,FII BTLG,11.839.593/0001-09,12/21/2022
PVBI11,FII,FII VBI PRI,35.652.102/0001-76,12/21/2022
IGTI11,Ação,JEREISSATI PARTICIPACOES S.A,60.543.816/0001-93,12/21/2022
M1TA34,BDR,FACEBOOK. INC,--,12/21/2022
MELI34,BDR,MERCADOLIBRE INC,--,12/21/2022
ATTB34,BDR,AT&T INC,--,12/21/2022
VERZ34,BDR,VERIZON COMMUNICATIONS INC,--,12/21/2022
KHCB34,BDR,THE KRAFT HEINZ COMPANY,--,12/21/2022
VILG11,FII,FII VINCILOG,24.853.044/0001-22,12/21/2022
AIRB34,BDR,Airbnb Inc,--,12/21/2022
BLAU3,Ação,BLAU FARMACÊUTICA S.A,58.430.828/0001-60,12/21/2022
NFLX34,BDR,NETFLIX. INC,--,12/21/2022
BIEF39,BDR,ISHARES CORE MSCI EAFE ETF,--,12/21/2022
DEFI11,ETF,DEFI HASH,40.755.515/0001-16,12/21/2022
S2NW34,BDR,SNOWFLAKE INC,--,12/21/2022
VGIP11,FII,FII VALORAIP,34.197.811/0001-46,12/21/2022
TRXF11,FII,TRX REAL STATE,28.548.288/0001-52,12/21/2022
ELET6,Ação,CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,12/21/2022
SNAG11,Fiagro,SUNO AGRO - FIAGRO-IMOBILIÁRIO,28.152.777/0001-90,12/21/2022
MUTC34,BDR,MICRON TECHNOLOGY INC,--,12/21/2022
HPQB34,BDR,HEWLETT-PACKARD COMPANY,--,12/21/2022
Trend Cannabis,Fundo de Investimento,TREND CANNABIS FIM,34.218.740/0001-10,12/21/2022
VNQ,Stock ETF,VANGUARD REAL ESTATE ETF,--,12/21/2022
HPQ,Stock,HP INC.,--,12/21/2022
MU,Stock,MICRON TECHNOLOGY INC.,--,12/21/2022
WFC,Stock,WELLS FARGO & COMPANY,--,12/21/2022
GOOG,Stock,ALPHABET INC.,--,12/21/2022
EPR,Reit,EPR PROPERTIES,--,12/21/2022
CIM,Reit,CHIMERA INVESTMENT CORPORATION,--,12/21/2022
MGP,Reit,MGM GROWTH PROPERTIES LLC,--,12/21/2022
SVC,Reit,SERVICE PROPERTIES TRUST,--,12/21/2022
SPG,Reit,SIMON PROPERTY GROUP INC.,--,12/21/2022
MAC,Reit,MACERICH COMPANY,--,12/21/2022
PK,Reit,PARK HOTELS & RESORTS INC.,--,12/21/2022
AMC,Stock,AMC ENTERTAINMENT HOLDINGS INC. ,--,12/21/2022
XP,Stock,XP INC.,--,12/21/2022
VIVA3,Ação,VIVARA PARTICIPAÇOES S.A,33.839.910/0001-11,12/21/2022
