Date,Type,Symbol,Qty,Cost,Total
8/8/2019,Compra,IRDM11,1.00000,125.00,125.00
8/8/2019,Compra,IRDM11,1.00000,125.39,125.39
8/8/2019,Venda,IRDM11,1.00000,125.50,125.50
8/13/2019,Venda,IRDM11,1.00000,125.85,125.85
9/12/2019,Compra,XPLG11,3.00000,102.50,307.50
9/13/2019,Compra,MALL11,3.00000,102.50,307.50
9/17/2019,Compra,XPLG11,1.00000,102.50,102.50
9/30/2019,Compra,HSML11,5.00000,102.65,513.25
10/1/2019,Compra,MALL11,1.00000,104.00,104.00
10/2/2019,Compra,VRTA11,1.00000,121.00,121.00
10/8/2019,Compra,VRTA11,5.00000,120.50,602.50
11/1/2019,Compra,HGCR11,5.00000,123.60,618.00
11/1/2019,Compra,MALL11,2.00000,102.30,204.60
11/6/2019,Compra,HGRU11,5.00000,114.90,574.50
11/25/2019,Compra,ALZR11,5.00000,115.30,576.50
11/25/2019,Compra,HSML11,9.00000,105.80,952.20
11/25/2019,Compra,RBRR11,5.00000,104.50,522.50
12/5/2019,Compra,HSML11,1.00000,113.00,113.00
12/11/2019,Compra,MALL11,3.00000,106.60,319.80
12/11/2019,Compra,RBRR11,3.00000,105.40,316.20
12/11/2019,Compra,RBRR11,1.00000,105.40,105.40
12/13/2019,Compra,VRTA11,1.00000,129.50,129.50
12/17/2019,Compra,RBRR11,8.00000,104.60,836.80
12/17/2019,Compra,ENBR3,8.00000,20.40,163.20
12/26/2019,Compra,WIZS3,30.00000,14.25,427.50
1/7/2020,Compra,ABCB4,10.00000,20.70,207.00
1/8/2020,Compra,ABCB4,7.00000,20.35,142.45
1/13/2020,Venda,ABCB4,17.00000,20.50,348.50
1/13/2020,Venda,ENBR3,3.00000,22.65,67.95
1/13/2020,Venda,ENBR3,5.00000,22.65,113.25
1/13/2020,Venda,WIZS3,23.00000,14.85,341.55
1/13/2020,Venda,WIZS3,1.00000,14.85,14.85
1/13/2020,Venda,WIZS3,6.00000,14.85,89.10
1/16/2020,Compra,HGRU11,8.00000,135.50,1084.00
1/20/2020,Compra,HSML11,10.00000,122.00,1220.00
1/20/2020,Compra,HSML11,1.00000,122.00,122.00
1/20/2020,Venda,HGCR11,4.00000,125.50,502.00
1/20/2020,Venda,HGCR11,1.00000,125.50,125.50
